Node	xCoord	yCoord	zCoord	branch element topology or R1,R2 (g/mm^4.ms), and C(mm^4.ms^2/g) values 
1	0	0	0	inlet	aorta			
2	0	20	0					
3	0	40	0	1	10	2		
4	10	40	0					
5	20	40	0	2	20	3		
6	39.5	40	0					
7	59	40	0	3	23	4		
8	59	14	0					
9	59	-12	0	4	30	5		
10	59	-64	0					
11	59	-116	0	5	31	6		
12	59	-142.5	0					
13	59	-169	0	6	37	36		
14	59	-199	0					
15	59	-209	0	7	8	39		
16	59	-244	0					
17	59	-279	0	8	40	9		
18	59	-307	0					
19	59	-335	0	9	41	48		
20	0	57	0					
21	0	74	0	10	18	11		
22	-17	74	0					
23	-34	74	0	11	17	12		
24	-245	74	0					
25	-456	74	0	12	14	13		
26	-573.5	74	0					
27	-691	74	0	terminal	right radial	0.001056	0.004224	35235
28	-456	40.5	0					
29	-456	7	0	14	15	16		
30	-456	-45	0					
31	-456	-164	0	terminal	right ulnar	0.001056	0.004224	35200
32	-495.5	7	0					
33	-535	7	0	terminal	right interosseus	0.01686	0.06744	2200
34	-34	148.5	0					
35	-34	223	0	terminal	right vertebral	0.001202	0.004808	30955
36	0	121	0					
37	0	168	0	18	19	55		
38	0	257	0					
39	0	346	0	terminal	right internal carotid	0.00278	0.01112	13384
40	20	109.5	0					
41	20	179	0	20	22	21		
42	20	179	20.5					
43	20	179	41	terminal	left external carotid	0.00278	0.01112	13384
44	20	268	0					
45	20	357	0	terminal	left internal carotid	0.00278	0.01112	13384
46	59	57	0					
47	59	74	0	23	29	24		
48	270	74	0					
49	481	74	0	24	25	26		
50	598.5	74	0					
51	716	74	0	terminal	left radial	0.001056	0.004224	35235
52	481	40.5	0					
53	481	7	0	26	28	27		
54	481	-78.5	0					
55	481	-164	0	terminal	left ulnar	0.001056	0.004224	35200
56	520.5	7	0					
57	560	7	0	terminal	left interosseus	0.01686	0.06744	2200
58	59	148	0					
59	59	222	0	terminal	left vertebral	0.001202	0.004808	30955
60	99	-12	0					
61	139	-12	0	terminal	intercostal	0.000278	0.001112	133840
62	69	-116	0					
63	79	-116	0	31	32	35		
64	79	-80.5	0					
65	79	-45	0	terminal	gastric	0.001082	0.004328	34390
66	130.5	-116	0					
67	162	-116	0	terminal	splenic	0.000464	0.001856	80190
68	99	-83	0					
69	99	-50	0	terminal	hepatic	0.000726	0.002904	51250
70	89	-116	0					
71	99	-116	0	35	34	33		
72	29.5	-169	0					
73	0	-169	0	terminal	superior mesenteric	0.000186	0.000744	200050
74	59	-179	0					
75	59	-189	0	37	38	7		
76	75	-189	0					
77	91	-189	0	terminal	left renal	0.000226	0.000904	164640
78	43	-209	0					
79	27	-209	0	terminal	right renal	0.000226	0.000904	164640
80	84	-279	0					
81	109	-279	0	terminal	inferior mesenteric	0.001376	0.005504	27041
82	88.5	-335	0					
83	118	-335	0	41	42	47		
84	190	-335	0					
85	262	-335	0	42	46	43		
86	262	-556.5	0					
87	262	-778	0	43	45	44		
88	262	-949.5	0					
89	262	-1121	0	terminal	left anterior tibial	0.001118	0.004472	33281
90	422.5	-778	0					
91	583	-778	0	terminal	left posterior tibial	0.000954	0.003816	39003
92	325	-335	0					
93	388	-335	0	terminal	left deep femoral	0.000954	0.003816	39003
94	118	-360	0					
95	118	-385	0	terminal	left inner iliac	0.0015872	0.0063488	23443
96	29.5	-335	0					
97	0	-335	0	48	54	49		
98	-72	-335	0					
99	-144	-335	0	49	50	53		
100	-144	-556.5	0					
101	-144	-778	0	50	51	52		
102	-144	-949.5	0					
103	-144	-1121	0	terminal	right anterior tibial	0.001118	0.004472	33281
104	-304.5	-778	0					
105	-465	-778	0	terminal	right posterior tibial	0.000954	0.003816	39003
106	-207	-335	0					
107	-270	-335	0	terminal	right deep femoral	0.000954	0.003816	39003
108	0	-360	0					
109	0	-385	0	terminal	right inner iliac	0.0015872	0.0063488	23443
110	0	168	20.5					
111	0	168	41	terminal	right external carotid	0.00278	0.01112	13384
